danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url
0.583,0.817,9,-5.146,0,0.0987,0.118,0.0,0.338,0.438,105.936,246381,4,https://api.spotify.com/v1/audio-analysis/2QyuXBcV1LJ2rq01KhreMF
0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.998,225012,4,https://api.spotify.com/v1/audio-analysis/1aKuG1GG76xPLUkjBbQo3W
0.566,0.548,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999,250296,4,https://api.spotify.com/v1/audio-analysis/4AlihYDqxXshKhvh5tnMfP
0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.332,134.953,233266,4,https://api.spotify.com/v1/audio-analysis/4BKOjYosPhw334moS3wlbO
0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.648,79.98,199339,4,https://api.spotify.com/v1/audio-analysis/7w05lsU2VLSeiT8Nukrv5M
0.703,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,4,https://api.spotify.com/v1/audio-analysis/1xfXXujIlLZAx5wpu46Nyk
0.661,0.84,0,-4.805,1,0.116,0.00485,0.0,0.287,0.524,91.457,237540,4,https://api.spotify.com/v1/audio-analysis/37TSJmYKLxXmx8OehFpqMN
0.526,0.575,9,-5.215,0,0.0309,0.225,0.0,0.108,0.19,84.047,261543,4,https://api.spotify.com/v1/audio-analysis/44WLOqH7QayQOQdeUHeKUK
0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988,196199,4,https://api.spotify.com/v1/audio-analysis/3r9FFjLrAIQjoR8pSHVPC9
0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,246816,4,https://api.spotify.com/v1/audio-analysis/3IB5qOeMayvpOdHxYCL5tZ
0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411,171023,4,https://api.spotify.com/v1/audio-analysis/7z6P5nmvbeHwBki0OAJJQy
0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,229773,4,https://api.spotify.com/v1/audio-analysis/72juT36tH9umBL3xtn7mWf
0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,226321,4,https://api.spotify.com/v1/audio-analysis/76XrbHh9pbauMnX0l0AU25
0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,https://api.spotify.com/v1/audio-analysis/5bO3D3eQ7z1scnsTfEZE2Y
0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,https://api.spotify.com/v1/audio-analysis/17HEvyNVOHaexCngxnAwXJ
0.384,0.798,9,-6.439,0,0.434,0.115,0.0,0.181,0.146,149.854,259821,4,https://api.spotify.com/v1/audio-analysis/41nIJJ34mcu0Xlju1CDKjn
0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,198261,4,https://api.spotify.com/v1/audio-analysis/4TaJlCXAkv1WKYODXmq75b
0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,180221,4,https://api.spotify.com/v1/audio-analysis/5yVdSyfWGh8EvolcR2fGFU
0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91,234458,4,https://api.spotify.com/v1/audio-analysis/32dX0j8hzoztvO4ZXIblbX
0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999,217404,4,https://api.spotify.com/v1/audio-analysis/7rWZS6UDNgLbtCgq3eUrdM
0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,246381,4,https://api.spotify.com/v1/audio-analysis/3cbLHmmEPvTgHKvl53WYiy
0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.996,225012,4,https://api.spotify.com/v1/audio-analysis/200110T27gmATYagfNYzkF
0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962,250296,4,https://api.spotify.com/v1/audio-analysis/4lFT5k1oh0tqa8HX6N2HC5
0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.33,134.953,233266,4,https://api.spotify.com/v1/audio-analysis/0GISuIGiksexkuD4krw6PN
0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,199339,4,https://api.spotify.com/v1/audio-analysis/2dkFOWqyiVFS3xsQUEdBJG
0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,4,https://api.spotify.com/v1/audio-analysis/1kBDdMMhlNZtfa1CkAvKae
0.661,0.838,0,-4.806,1,0.116,0.00491,0.0,0.287,0.526,91.463,237540,4,https://api.spotify.com/v1/audio-analysis/0DEdF1WCE93oW0VICMDx5T
0.522,0.574,9,-5.225,0,0.0317,0.224,0.0,0.108,0.176,84.044,261543,4,https://api.spotify.com/v1/audio-analysis/24UdklPfDXaq7Pw5UfoWpc
0.808,0.903,0,-3.106,1,0.0957,0.0121,0.000248,0.0993,0.473,116.988,196199,4,https://api.spotify.com/v1/audio-analysis/06bwLBRfk0UuPDrXUe0NqG
0.591,0.848,9,-4.396,0,0.0828,0.137,0.0,0.372,0.385,105.924,246816,4,https://api.spotify.com/v1/audio-analysis/6lutTv6vHG0GGf8L962cZA
0.469,0.87,9,-4.475,0,0.342,0.0278,0.0,0.313,0.652,86.622,171023,4,https://api.spotify.com/v1/audio-analysis/2isSdmQfVv32j2haL6hk9x
0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c
0.58,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.039,224225,3,https://api.spotify.com/v1/audio-analysis/5hnbE5BF2e8BCk9OMR1UVC
0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766,226321,4,https://api.spotify.com/v1/audio-analysis/6KUE0HSSudAp9AOycaF6SH
0.633,0.799,7,-4.625,0,0.0429,0.0142,0.0,0.194,0.535,142.991,234178,4,https://api.spotify.com/v1/audio-analysis/7lthOBXNue2IvedLRfkod8
0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,https://api.spotify.com/v1/audio-analysis/0eeeyCAGnGZInPtpkdYiPa
0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,https://api.spotify.com/v1/audio-analysis/6JdS5rJvJaRA7B1tcm7kxZ
0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411,171023,4,https://api.spotify.com/v1/audio-analysis/2mgrbH66yFGvuv21GScUjf
0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,229773,4,https://api.spotify.com/v1/audio-analysis/6kvhVDjY3s70PwM7naA5O2
0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,224225,3,https://api.spotify.com/v1/audio-analysis/3DfLM8Tp8opz7gofnoQLKR
0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,226321,4,https://api.spotify.com/v1/audio-analysis/6hLtMEWx435XkhGOxEWlYr
0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991,234178,4,https://api.spotify.com/v1/audio-analysis/2P1hmH4KkSi46g1CrYQohn
0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,https://api.spotify.com/v1/audio-analysis/7jZub0BqJicmH89lx3GgxC
0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,https://api.spotify.com/v1/audio-analysis/4OGpxZkJe8LQunidiyWtzu
0.775,0.272,1,-9.126,0,0.091,0.56,0.00278,0.112,0.198,103.991,196998,3,https://api.spotify.com/v1/audio-analysis/71dRDyRafdqnmJgg59UhSf
0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,242334,4,https://api.spotify.com/v1/audio-analysis/2bGEF6kgfsm65FcySRoEL8
0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016,242293,4,https://api.spotify.com/v1/audio-analysis/2JbcAngUDTCCk4dq3MAmPr
0.665,0.687,11,-6.466,0,0.0547,0.155,9.28e-05,0.173,0.651,106.023,230063,4,https://api.spotify.com/v1/audio-analysis/1VjyQaNzHNQaOTyG2IidCz
0.551,0.828,5,-5.523,1,0.352,0.214,0.0,0.0571,0.928,139.662,211224,4,https://api.spotify.com/v1/audio-analysis/26riAM6N3mEGaeUDY7rgnv
0.637,0.876,9,-4.652,1,0.0618,0.0483,0.0,0.0728,0.759,149.93,221529,4,https://api.spotify.com/v1/audio-analysis/35BcfiSFKVMRAOH934ndZ8
0.531,0.661,1,-5.836,1,0.0907,0.103,0.0,0.0779,0.278,149.934,275696,4,https://api.spotify.com/v1/audio-analysis/4qx1d1kUKSymsi4228TuWT
0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979,218615,4,https://api.spotify.com/v1/audio-analysis/06tITHoF7a66mkjJKiwdXU
0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,232966,4,https://api.spotify.com/v1/audio-analysis/2iFUxttby8fUdDBf9kRjTz
